xenocanto_11_2,ebird2022_species,comment
eutoxeres aquila,whtsic1,Exact match
eutoxeres condamini,butsic1,Exact match
ramphodon naevius,sabher1,Exact match
glaucis dohrnii,hobher2,Exact match
glaucis aeneus,broher,Exact match
glaucis hirsutus,rubher,Exact match
threnetes ruckeri,batbar1,Exact match
threnetes leucurus,patbar1,Exact match
threnetes niger,soobar1,Exact match
anopetia gounellei,brther2,Exact match
phaethornis squalidus,duther1,Exact match
phaethornis rupurumii,stther1,Exact match
phaethornis longuemareus,lither2,Exact match
phaethornis aethopygus,lither3,Exact match
phaethornis idaliae,minher1,Exact match
phaethornis nattereri,cither1,Exact match
phaethornis atrimentalis,bkther1,Exact match
phaethornis striigularis,stther2,Exact match
phaethornis ruber,redher1,Exact match
phaethornis stuarti,whbher3,Exact match
phaethornis subochraceus,bubher1,Exact match
phaethornis augusti,socher1,Exact match
phaethornis pretrei,plaher1,Exact match
phaethornis eurynome,scther1,Exact match
phaethornis anthophilus,pabher1,Exact match
phaethornis hispidus,whbher1,Exact match
phaethornis yaruqui,whwher1,Exact match
phaethornis guy,greher1,Exact match
phaethornis syrmatophorus,tabher1,Exact match
phaethornis koepckeae,koeher1,Exact match
phaethornis philippii,nebher1,Exact match
phaethornis bourcieri,stbher1,Exact match
phaethornis mexicanus,mexher1,Exact match
phaethornis longirostris,lobher,Exact match
phaethornis superciliosus,lother1,Exact match
phaethornis malaris,grbher1,Exact match
doryfera ludovicae,grflan1,Exact match
doryfera johannae,blflan1,Exact match
schistes albogularis,webhum3,Exact match
schistes geoffroyi,webhum1,Exact match
augastes scutatus,hyavis1,Exact match
augastes lumachella,hoovis2,Exact match
colibri delphinae,brvear1,Exact match
colibri thalassinus,grnvie1,Exact match
colibri cyanotus,lesvio1,Exact match
colibri coruscans,spvear1,Exact match
colibri serrirostris,wvvear1,Exact match
androdon aequatorialis,tobhum1,Exact match
heliactin bilophus,horsun2,Exact match
heliothryx barroti,pucfai1,Exact match
heliothryx auritus,bkefai1,Exact match
polytmus guainumbi,whtgol1,Exact match
polytmus milleri,tepgol1,Exact match
polytmus theresiae,grtgol1,Exact match
avocettula recurvirostris,fitawl1,Exact match
chrysolampis mosquitus,ruthum1,Exact match
anthracothorax mango,jamman1,Exact match
anthracothorax viridigula,grtman1,Exact match
anthracothorax veraguensis,verman1,Exact match
anthracothorax viridis,greman1,Exact match
eulampis holosericeus,grtcar1,Exact match
