birdnet,ebird2021,comment
Columba palumbus,cowpig1,
Columbina inca,incdov,
Columbina minuta,pbgdov1,
Columbina passerina,cogdov,
Columbina picui,pigdov1,
Columbina squammata,scadov1,
Columbina talpacoti,rugdov,
Conirostrum speciosum,chvcon1,
Conopophaga lineata,rufgna3,
Contopus cinereus,tropew1,
Contopus cooperi,olsfly,
Contopus fumigatus,smcpew1,
Contopus pertinax,grepew,
Contopus sordidulus,wewpew,
Contopus virens,eawpew,
Copsychus fulicatus,indrob1,
Copsychus malabaricus,whrsha,
Copsychus saularis,magrob,
Coracias benghalensis,indrol1,
Coracias garrulus,eurrol1,
Coracina macei,larcus1,
Coracina novaehollandiae,bkfcus1,
Coragyps atratus,blkvul,
Corcorax melanorhamphos,whwcho1,
Cormobates leucophaea,whttre3,
Corthylio calendula,ruckin,
Corvus albus,piecro1,
Corvus brachyrhynchos,amecro,
Corvus corax,comrav,
Corvus cornix,hoocro1,
Corvus corone,carcro1,
Corvus coronoides,ausrav1,
Corvus cryptoleucus,chirav,
Corvus enca,slbcro1,
Corvus frugilegus,rook1,
Corvus hawaiiensis,hawcro,
Corvus macrorhynchos,labcro1,
Corvus mellori,litrav1,
Corvus monedula,eurjac,
Corvus orru,torcro2,
Corvus ossifragus,fiscro,
Corvus splendens,houcro1,
Coryphospingus cucullatus,recfin1,
Coryphospingus pileatus,pilfin1,
Corythopis delalandi,souant1,
Cossypha caffra,carcha1,
Cossypha heuglini,wbrcha2,
Cossypha natalensis,rcrcha1,
Coturnicops noveboracensis,yelrai,
Coturnix coturnix,comqua1,
Coturnix japonica,japqua,
Cracticus nigrogularis,piebut1,
Cracticus quoyi,blabut1,
Cracticus torquatus,grybut1,
Cranioleuca erythrops,refspi1,
Cranioleuca pallida,palspi1,
Cranioleuca pyrrhophia,stcspi2,
Crax fasciolata,bafcur1,
Crex crex,corcra,
Crithagra mozambica,yefcan,
Crotophaga ani,smbani,
Crotophaga major,greani1,
Crotophaga sulcirostris,grbani,
Crypturellus boucardi,slbtin1,
Crypturellus cinereus,cintin1,
Crypturellus cinnamomeus,thitin1,
Crypturellus obsoletus,brotin1,
Crypturellus parvirostris,smbtin1,
Crypturellus soui,littin1,
Crypturellus tataupa,tattin1,
Crypturellus undulatus,undtin1,
Crypturellus variegatus,vartin1,
Cuculus canorus,comcuc,
Cuculus clamosus,blacuc1,
Cuculus micropterus,indcuc1,
Cuculus optatus,oricuc2,
Cuculus solitarius,reccuc1,
Culicicapa ceylonensis,gyhcaf1,
Curaeus curaeus,ausbla1,
Curruca communis,grewhi1,
Curruca curruca,leswhi1,
Curruca hortensis,weowar2,
Curruca iberiae,subwar6,
Curruca melanocephala,sarwar1,
Curruca undata,darwar1,
Cyanerpes cyaneus,relhon1,
Cyanistes caeruleus,blutit,
Cyanistes teneriffae,afbtit2,
Cyanocitta cristata,blujay,
Cyanocitta stelleri,stejay,
Cyanocompsa parellina,blubun,
Cyanocorax affinis,blcjay1,
Cyanocorax caeruleus,azujay1,
Cyanocorax chrysops,plcjay1,
Cyanocorax cristatellus,cucjay1,
Cyanocorax cyanomelas,purjay1,
Cyanocorax melanocyaneus,bucjay1,
Cyanocorax violaceus,viojay1,
Cyanocorax yncas,grnjay,
Cyanocorax yucatanicus,yucjay1,
Cyanoderma chrysaeum,golbab1,
Cyanoderma erythropterum,chwbab1,
Cyanoderma ruficeps,rucbab1,
Cyanoliseus patagonus,burpar,
Cyanoloxia brissonii,ultgro1,
Cyanoloxia cyanoides,bubgro1,
Cyanolyca turcosa,turjay1,
Cyanomitra olivacea,eaosun1,
Cyanopica cooki,azwmag3,
Cyanoptila cyanomelana,bawfly2,
Cyclarhis gujanensis,rubpep1,
Cyclarhis nigrirostris,blbpep1,
Cygnus buccinator,truswa,
Cygnus columbianus,tunswa,
Cygnus cygnus,whoswa,
Cygnus olor,mutswa,
Cymbilaimus lineatus,fasant1,
Cynanthus latirostris,brbhum,
Cyornis hainanus,habfly1,
Cyornis rubeculoides,butfly1,
Cyornis tickelliae,tibfly3,
Cyphorhinus phaeocephalus,sonwre1,
Cypsiurus balasiensis,aspswi1,
Cyrtonyx montezumae,monqua,
Dacelo novaeguineae,laukoo1,
Dacnis cayana,bludac1,
Daptrius ater,blacar1,
Delichon urbicum,cohmar1,
Dendragapus fuliginosus,soogro1,
Dendragapus obscurus,dusgro,
Dendrexetastes rufigula,citwoo1,
Dendrocincla anabatina,tawwoo1,
Dendrocincla fuliginosa,plbwoo1,
Dendrocincla turdina,plwwoo1,
Dendrocitta formosae,grytre1,
Dendrocitta vagabunda,ruftre2,
Dendrocolaptes picumnus,blbwoo1,
Dendrocolaptes platyrostris,plawoo1,
Dendrocolaptes sanctithomae,nobwoo1,
Dendrocopos leucotos,whbwoo1,
Dendrocopos major,grswoo,
Dendrocopos syriacus,syrwoo1,
Dendrocoptes medius,miswoo1,
Dendrocygna autumnalis,bbwduc,
Dendrocygna bicolor,fuwduc,
Dendrocygna javanica,lewduc1,
Dendrocygna viduata,wfwduc1,
Dendroma rufa,bffgle,
Dendroplex picus,stbwoo2,
Dendrortyx leucophrys,bcwpar1,
Dicaeum concolor,plaflo1,
Dicaeum cruentatum,scbflo1,
Dicaeum erythrorhynchos,pabflo1,
Dicaeum hirundinaceum,mistle1,
Dicaeum ignipectus,fibflo2,
Dicaeum trigonostigma,orbflo1,
Dicrurus adsimilis,fotdro1,
Dicrurus aeneus,brodro1,
Dicrurus bracteatus,spadro1,
Dicrurus caerulescens,whbdro1,
Dicrurus hottentottus,hacdro1,
Dicrurus leucophaeus,ashdro1,
Dicrurus macrocercus,bladro1,
Dicrurus paradiseus,grtdro1,
Dicrurus remifer,lrtdro1,
Diglossa albilatera,whsflo1,
Diglossa caerulescens,bluflo1,
Diglossa cyanea,masflo1,
Diglossa humeralis,blkflo1,
Diglossa lafresnayii,gloflo1,
Dinopium benghalense,blrfla1,
Diopsittaca nobilis,resmac2,
Diuca diuca,codfin1,
Dives dives,melbla1,
Dives warczewiczi,scrbla1,
Dolichonyx oryzivorus,boboli,
Donacobius atricapilla,bkcdon,
Drepanis coccinea,iiwi,
Dromococcyx phasianellus,phecuc1,
Drymophila ferruginea,ferant1,
Drymophila striaticeps,sthant1,
Dryobates affinis,reswoo1,
Dryobates albolarvatus,whhwoo,
Dryobates arizonae,ariwoo,
Dryobates borealis,recwoo,
Dryobates fumigatus,smbwoo1,
Dryobates lignarius,strwoo6,
Dryobates minor,leswoo1,
Dryobates nuttallii,nutwoo,
Dryobates passerinus,litwoo2,
Dryobates pubescens,dowwoo,
Dryobates scalaris,labwoo,
Dryobates spilogaster,whswoo2,
Dryobates villosus,haiwoo,
Dryocopus javensis,whbwoo2,
Dryocopus lineatus,linwoo1,
Dryocopus martius,blawoo1,
Dryocopus pileatus,pilwoo,
Dryoscopus cubla,blbpuf2,
Dubusia taeniata,bbmtan1,
Ducula aenea,gripig1,
Ducula badia,moipig1,
Dumetella carolinensis,grycat,
Dumetia hyperythra,tabbab1,
Dysithamnus mentalis,plaant1,
Eclectus roratus,eclpar,
Edolisoma tenuirostre,cicada1,
Egretta caerulea,libher,
Egretta garzetta,litegr,
Egretta thula,snoegr,
Egretta tricolor,triher,
Elaenia albiceps,whcela1,
Elaenia chiriquensis,lesela1,
Elaenia cristata,plcela1,
Elaenia flavogaster,yebela1,
Elaenia frantzii,mouela1,
Elaenia martinica,carela1,
Elaenia pallatangae,sieela3,
Elaenia parvirostris,smbela1,
Elaenia spectabilis,larela1,
Elanoides forficatus,swtkit,
Elanus caeruleus,bkskit1,
Elanus leucurus,whtkit,
Electron platyrhynchum,brbmot1,
Emberiza calandra,corbun1,
Emberiza cia,rocbun1,
Emberiza cioides,meabun1,
Emberiza cirlus,cirbun1,
Emberiza citrinella,yellow2,
Emberiza elegans,yetbun1,
Emberiza flaviventris,gobbun1,
Emberiza hortulana,ortbun1,
Emberiza melanocephala,blhbun1,
Emberiza pusilla,litbun,
Emberiza rustica,rusbun,
Emberiza schoeniclus,reebun,
Emberiza spodocephala,blfbun1,
Emberiza tahapisi,cibbun1,
Emberizoides herbicola,wtgfin1,
Embernagra platensis,grpfin1,
Eminia lepida,gycwar3,
Empidonax alnorum,aldfly,
Empidonax difficilis,pasfly,
Empidonax flavescens,yelfly1,
Empidonax flaviventris,yebfly,
Empidonax fulvifrons,bubfly,
Empidonax hammondii,hamfly,
Empidonax minimus,leafly,
Empidonax oberholseri,dusfly,
Empidonax occidentalis,corfly,
Empidonax traillii,wilfly,
Empidonax virescens,acafly,
Empidonax wrightii,gryfly,
Empidonomus aurantioatrocristatus,croslf1,
Empidonomus varius,varfly,
Enicurus leschenaulti,whcfor1,
Entomyzon cyanotis,blfhon1,
Eolophus roseicapilla,galah,
Eopsaltria australis,yelrob1,
Epinecrophylla fulviventris,chtant1,
