ioc_12_2,clements
aerodramus ocistus,aerodramus ocistus
aerodramus maximus,aerodramus maximus
aerodramus fuciphagus,aerodramus fuciphagus
aerodramus germani,aerodramus germani
aerodramus papuensis,aerodramus papuensis
schoutedenapus myoptilus,schoutedenapus myoptilus
mearnsia picina,mearnsia picina
mearnsia novaeguineae,mearnsia novaeguineae
zoonavena grandidieri,zoonavena grandidieri
zoonavena thomensis,zoonavena thomensis
zoonavena sylvatica,zoonavena sylvatica
telacanthura ussheri,telacanthura ussheri
telacanthura melanopygia,telacanthura melanopygia
rhaphidura leucopygialis,rhaphidura leucopygialis
rhaphidura sabini,rhaphidura sabini
neafrapus cassini,neafrapus cassini
neafrapus boehmi,neafrapus boehmi
hirundapus caudacutus,hirundapus caudacutus
hirundapus cochinchinensis,hirundapus cochinchinensis
hirundapus giganteus,hirundapus giganteus
hirundapus celebensis,hirundapus celebensis
chaetura cinereiventris,chaetura cinereiventris
chaetura spinicaudus,chaetura spinicaudus
chaetura martinica,chaetura martinica
chaetura fumosa,chaetura fumosa
chaetura egregia,chaetura egregia
chaetura pelagica,chaetura pelagica
chaetura vauxi,chaetura vauxi
chaetura chapmani,chaetura chapmani
chaetura andrei,chaetura andrei
chaetura meridionalis,chaetura meridionalis
chaetura brachyura,chaetura brachyura
aeronautes saxatalis,aeronautes saxatalis
aeronautes montivagus,aeronautes montivagus
aeronautes andecolus,aeronautes andecolus
tachornis phoenicobia,tachornis phoenicobia
tachornis furcata,tachornis furcata
tachornis squamata,tachornis squamata
panyptila sanctihieronymi,panyptila sanctihieronymi
panyptila cayennensis,panyptila cayennensis
cypsiurus parvus,cypsiurus parvus
cypsiurus gracilis,cypsiurus gracilis
cypsiurus balasiensis,cypsiurus balasiensis
tachymarptis melba,apus melba
tachymarptis aequatorialis,apus aequatorialis
apus alexandri,apus alexandri
apus apus,apus apus
apus unicolor,apus unicolor
apus niansae,apus niansae
apus pallidus,apus pallidus
apus barbatus,apus barbatus
apus balstoni,apus balstoni
apus sladeniae,unknown
apus berliozi,apus berliozi
apus bradfieldi,apus bradfieldi
apus pacificus,apus pacificus
apus salimalii,apus salimalii
apus leuconyx,apus leuconyx
apus cooki,apus cooki
apus acuticauda,apus acuticauda
apus affinis,apus affinis
apus nipalensis,apus nipalensis
apus horus,apus horus
apus caffer,apus caffer
apus batesi,apus batesi
topaza pella,topaza pella
topaza pyra,topaza pyra
florisuga mellivora,florisuga mellivora
florisuga fusca,florisuga fusca
eutoxeres aquila,eutoxeres aquila
eutoxeres condamini,eutoxeres condamini
ramphodon naevius,ramphodon naevius
glaucis dohrnii,glaucis dohrnii
glaucis aeneus,glaucis aeneus
glaucis hirsutus,glaucis hirsutus
threnetes ruckeri,threnetes ruckeri
threnetes leucurus,threnetes leucurus
threnetes niger,threnetes niger
anopetia gounellei,anopetia gounellei
phaethornis squalidus,phaethornis squalidus
phaethornis rupurumii,phaethornis rupurumii
phaethornis longuemareus,phaethornis longuemareus
phaethornis aethopygus,phaethornis aethopygus
phaethornis idaliae,phaethornis idaliae
phaethornis nattereri,phaethornis nattereri
phaethornis atrimentalis,phaethornis atrimentalis
phaethornis striigularis,phaethornis striigularis
phaethornis griseogularis,phaethornis griseogularis
phaethornis ruber,phaethornis ruber
phaethornis stuarti,phaethornis stuarti
phaethornis subochraceus,phaethornis subochraceus
phaethornis augusti,phaethornis augusti
phaethornis pretrei,phaethornis pretrei
phaethornis eurynome,phaethornis eurynome
phaethornis anthophilus,phaethornis anthophilus
phaethornis hispidus,phaethornis hispidus
phaethornis yaruqui,phaethornis yaruqui
phaethornis guy,phaethornis guy
phaethornis syrmatophorus,phaethornis syrmatophorus
phaethornis koepckeae,phaethornis koepckeae
phaethornis philippii,phaethornis philippii
phaethornis bourcieri,phaethornis bourcieri
phaethornis mexicanus,phaethornis mexicanus
phaethornis longirostris,phaethornis longirostris
phaethornis superciliosus,phaethornis superciliosus
phaethornis malaris,phaethornis malaris
doryfera ludovicae,doryfera ludovicae
doryfera johannae,doryfera johannae
schistes albogularis,schistes albogularis
schistes geoffroyi,schistes geoffroyi
augastes scutatus,augastes scutatus
augastes lumachella,augastes lumachella
colibri delphinae,colibri delphinae
colibri thalassinus,colibri thalassinus
colibri cyanotus,colibri cyanotus
colibri coruscans,colibri coruscans
colibri serrirostris,colibri serrirostris
androdon aequatorialis,androdon aequatorialis
heliactin bilophus,heliactin bilophus
heliothryx barroti,heliothryx barroti
heliothryx auritus,heliothryx auritus
polytmus guainumbi,polytmus guainumbi
polytmus milleri,polytmus milleri
polytmus theresiae,polytmus theresiae
avocettula recurvirostris,avocettula recurvirostris
chrysolampis mosquitus,chrysolampis mosquitus
anthracothorax mango,anthracothorax mango
anthracothorax nigricollis,anthracothorax nigricollis
anthracothorax viridigula,anthracothorax viridigula
anthracothorax prevostii,anthracothorax prevostii
anthracothorax veraguensis,anthracothorax veraguensis
anthracothorax dominicus,anthracothorax dominicus
anthracothorax aurulentus,unknown
anthracothorax viridis,anthracothorax viridis
eulampis holosericeus,eulampis holosericeus
eulampis jugularis,eulampis jugularis
heliangelus mavors,heliangelus mavors
heliangelus amethysticollis,heliangelus amethysticollis
heliangelus clarisse,unknown
heliangelus spencei,unknown
heliangelus strophianus,heliangelus strophianus
heliangelus exortis,heliangelus exortis
heliangelus micraster,heliangelus micraster
heliangelus viola,heliangelus viola
heliangelus regalis,heliangelus regalis
sephanoides sephaniodes,sephanoides sephaniodes
sephanoides fernandensis,sephanoides fernandensis
discosura conversii,discosura conversii
discosura popelairii,discosura popelairii
discosura langsdorffi,discosura langsdorffi
discosura letitiae,discosura letitiae
discosura longicaudus,discosura longicaudus
lophornis ornatus,lophornis ornatus
lophornis gouldii,lophornis gouldii
lophornis magnificus,lophornis magnificus
lophornis brachylophus,lophornis brachylophus
lophornis delattrei,lophornis delattrei
lophornis stictolophus,lophornis stictolophus
lophornis chalybeus,lophornis chalybeus
lophornis verreauxii,lophornis verreauxii
lophornis pavoninus,lophornis pavoninus
lophornis helenae,lophornis helenae
lophornis adorabilis,lophornis adorabilis
phlogophilus hemileucurus,phlogophilus hemileucurus
phlogophilus harterti,phlogophilus harterti
adelomyia melanogenys,adelomyia melanogenys
aglaiocercus kingii,aglaiocercus kingii
aglaiocercus coelestis,aglaiocercus coelestis
aglaiocercus berlepschi,aglaiocercus berlepschi
sappho sparganurus,sappho sparganurus
polyonymus caroli,polyonymus caroli
taphrolesbia griseiventris,taphrolesbia griseiventris
oreotrochilus estella,oreotrochilus estella
oreotrochilus leucopleurus,oreotrochilus leucopleurus
oreotrochilus chimborazo,oreotrochilus chimborazo
oreotrochilus cyanolaemus,oreotrochilus cyanolaemus
oreotrochilus stolzmanni,oreotrochilus stolzmanni
oreotrochilus melanogaster,oreotrochilus melanogaster
oreotrochilus adela,oreotrochilus adela
opisthoprora euryptera,opisthoprora euryptera
lesbia victoriae,lesbia victoriae
lesbia nuna,lesbia nuna
ramphomicron dorsale,ramphomicron dorsale
ramphomicron microrhynchum,ramphomicron microrhynchum
metallura tyrianthina,metallura tyrianthina
metallura iracunda,metallura iracunda
metallura williami,metallura williami
metallura baroni,metallura baroni
metallura odomae,metallura odomae
metallura theresiae,metallura theresiae
metallura eupogon,metallura eupogon
metallura aeneocauda,metallura aeneocauda
metallura phoebe,metallura phoebe
haplophaedia aureliae,haplophaedia aureliae
haplophaedia assimilis,haplophaedia assimilis
haplophaedia lugens,haplophaedia lugens
eriocnemis nigrivestis,eriocnemis nigrivestis
eriocnemis isabellae,eriocnemis isabellae
eriocnemis vestita,eriocnemis vestita
eriocnemis derbyi,eriocnemis derbyi
eriocnemis godini,eriocnemis godini
eriocnemis cupreoventris,eriocnemis cupreoventris
eriocnemis luciani,eriocnemis luciani
eriocnemis mosquera,eriocnemis mosquera
eriocnemis glaucopoides,eriocnemis glaucopoides
eriocnemis mirabilis,eriocnemis mirabilis
eriocnemis aline,eriocnemis aline
loddigesia mirabilis,loddigesia mirabilis
aglaeactis cupripennis,aglaeactis cupripennis
aglaeactis castelnaudii,aglaeactis castelnaudii
aglaeactis aliciae,aglaeactis aliciae
aglaeactis pamela,aglaeactis pamela
coeligena coeligena,coeligena coeligena
coeligena wilsoni,coeligena wilsoni
coeligena prunellei,coeligena prunellei
coeligena torquata,coeligena torquata
coeligena violifer,coeligena violifer
coeligena iris,coeligena iris
coeligena phalerata,coeligena phalerata
coeligena orina,coeligena orina
coeligena lutetiae,coeligena lutetiae
coeligena bonapartei,coeligena bonapartei
coeligena helianthea,coeligena helianthea
lafresnaya lafresnayi,lafresnaya lafresnayi
ensifera ensifera,ensifera ensifera
pterophanes cyanopterus,pterophanes cyanopterus
boissonneaua flavescens,boissonneaua flavescens
boissonneaua matthewsii,boissonneaua matthewsii
boissonneaua jardini,boissonneaua jardini
ocreatus underwoodii,ocreatus underwoodii
ocreatus peruanus,unknown
ocreatus addae,unknown
urochroa bougueri,urochroa bougueri
urochroa leucura,urochroa leucura
urosticte benjamini,urosticte benjamini
urosticte ruficrissa,urosticte ruficrissa
heliodoxa xanthogonys,heliodoxa xanthogonys
heliodoxa gularis,heliodoxa gularis
heliodoxa branickii,heliodoxa branickii
heliodoxa schreibersii,heliodoxa schreibersii
heliodoxa aurescens,heliodoxa aurescens
heliodoxa rubinoides,heliodoxa rubinoides
heliodoxa jacula,heliodoxa jacula
heliodoxa imperatrix,heliodoxa imperatrix
heliodoxa leadbeateri,heliodoxa leadbeateri
heliodoxa rubricauda,clytolaema rubricauda
patagona gigas,patagona gigas
sternoclyta cyanopectus,sternoclyta cyanopectus
hylonympha macrocerca,hylonympha macrocerca
eugenes fulgens,eugenes fulgens
eugenes spectabilis,eugenes spectabilis
panterpe insignis,panterpe insignis
heliomaster longirostris,heliomaster longirostris
heliomaster constantii,heliomaster constantii
heliomaster squamosus,heliomaster squamosus
heliomaster furcifer,heliomaster furcifer
lampornis hemileucus,lampornis hemileucus
lampornis clemenciae,lampornis clemenciae
lampornis amethystinus,lampornis amethystinus
lampornis viridipallens,lampornis viridipallens
lampornis sybillae,lampornis sybillae
lampornis calolaemus,lampornis calolaemus
lampornis cinereicauda,unknown
lampornis castaneoventris,lampornis castaneoventris
lamprolaima rhami,lamprolaima rhami
calliphlox amethystina,calliphlox amethystina
myrtis fanny,myrtis fanny
rhodopis vesper,rhodopis vesper
myrmia micrura,myrmia micrura
thaumastura cora,thaumastura cora
philodice bryantae,philodice bryantae
philodice mitchellii,philodice mitchellii
eulidia yarrellii,eulidia yarrellii
microstilbon burmeisteri,microstilbon burmeisteri
chaetocercus mulsant,chaetocercus mulsant
chaetocercus bombus,chaetocercus bombus
chaetocercus heliodor,chaetocercus heliodor
chaetocercus astreans,chaetocercus astreans
chaetocercus berlepschi,chaetocercus berlepschi
chaetocercus jourdanii,chaetocercus jourdanii
tilmatura dupontii,tilmatura dupontii
doricha enicura,doricha enicura
doricha eliza,doricha eliza
calothorax lucifer,calothorax lucifer
calothorax pulcher,calothorax pulcher
archilochus alexandri,archilochus alexandri
archilochus colubris,archilochus colubris
mellisuga minima,mellisuga minima
mellisuga helenae,mellisuga helenae
nesophlox evelynae,nesophlox evelynae
nesophlox lyrura,nesophlox lyrura
calypte anna,calypte anna
calypte costae,calypte costae
selasphorus calliope,selasphorus calliope
selasphorus rufus,selasphorus rufus
selasphorus sasin,selasphorus sasin
selasphorus platycercus,selasphorus platycercus
selasphorus heloisa,selasphorus heloisa
selasphorus ellioti,selasphorus ellioti
selasphorus flammula,selasphorus flammula
selasphorus scintilla,selasphorus scintilla
selasphorus ardens,selasphorus ardens
phaeoptila sordida,phaeoptila sordida
riccordia ricordii,riccordia ricordii
riccordia bracei,riccordia bracei
riccordia swainsonii,riccordia swainsonii
riccordia maugaeus,riccordia maugaeus
riccordia bicolor,riccordia bicolor
riccordia elegans,unknown
cynanthus latirostris,cynanthus latirostris
cynanthus lawrencei,unknown
cynanthus doubledayi,cynanthus doubledayi
cynanthus auriceps,cynanthus auriceps
cynanthus forficatus,cynanthus forficatus
cynanthus canivetii,cynanthus canivetii
chlorostilbon assimilis,chlorostilbon assimilis
chlorostilbon melanorhynchus,chlorostilbon melanorhynchus
chlorostilbon gibsoni,chlorostilbon gibsoni
chlorostilbon mellisugus,chlorostilbon mellisugus
chlorostilbon olivaresi,chlorostilbon olivaresi
chlorostilbon lucidus,chlorostilbon lucidus
chlorostilbon russatus,chlorostilbon russatus
chlorostilbon stenurus,chlorostilbon stenurus
chlorostilbon alice,chlorostilbon alice
chlorostilbon poortmani,chlorostilbon poortmani
basilinna leucotis,basilinna leucotis
basilinna xantusii,basilinna xantusii
pampa curvipennis,pampa curvipennis
pampa pampa,unknown
pampa rufa,pampa rufa
abeillia abeillei,abeillia abeillei
klais guimeti,klais guimeti
orthorhyncus cristatus,orthorhyncus cristatus
anthocephala floriceps,anthocephala floriceps
anthocephala berlepschi,anthocephala berlepschi
stephanoxis lalandi,stephanoxis lalandi
stephanoxis loddigesii,stephanoxis loddigesii
campylopterus largipennis,campylopterus largipennis
campylopterus calcirupicola,campylopterus calcirupicola
campylopterus diamantinensis,campylopterus diamantinensis
campylopterus hyperythrus,campylopterus hyperythrus
campylopterus ensipennis,campylopterus ensipennis
campylopterus falcatus,campylopterus falcatus
campylopterus phainopeplus,campylopterus phainopeplus
campylopterus hemileucurus,campylopterus hemileucurus
campylopterus duidae,campylopterus duidae
campylopterus villaviscensio,campylopterus villaviscensio
chalybura urochrysia,chalybura urochrysia
chalybura buffonii,chalybura buffonii
thalurania colombica,thalurania colombica
thalurania furcata,thalurania furcata
thalurania watertonii,thalurania watertonii
thalurania glaucopis,thalurania glaucopis
microchera albocoronata,microchera albocoronata
microchera cupreiceps,microchera cupreiceps
microchera chionura,microchera chionura
goldmania violiceps,goldmania violiceps
goldmania bella,goldmania bella
eupherusa ridgwayi,eupherusa ridgwayi
eupherusa poliocerca,eupherusa poliocerca
eupherusa cyanophrys,eupherusa cyanophrys
eupherusa eximia,eupherusa eximia
eupherusa nigriventris,eupherusa nigriventris
phaeochroa cuvierii,phaeochroa cuvierii
leucippus fallax,leucippus fallax
thaumasius baeri,thaumasius baeri
thaumasius taczanowskii,thaumasius taczanowskii
taphrospilus hypostictus,taphrospilus hypostictus
eupetomena macroura,eupetomena macroura
eupetomena cirrochloris,eupetomena cirrochloris
talaphorus chlorocercus,talaphorus chlorocercus
trochilus polytmus,trochilus polytmus
trochilus scitulus,unknown
ramosomyia violiceps,leucolia violiceps
ramosomyia viridifrons,leucolia viridifrons
ramosomyia wagneri,unknown
saucerottia cyanocephala,saucerottia cyanocephala
saucerottia hoffmanni,saucerottia hoffmanni
saucerottia beryllina,saucerottia beryllina
saucerottia cyanura,saucerottia cyanura
saucerottia edward,saucerottia edward
saucerottia saucerottei,saucerottia saucerottei
saucerottia cyanifrons,saucerottia cyanifrons
saucerottia castaneiventris,saucerottia castaneiventris
saucerottia viridigaster,saucerottia viridigaster
saucerottia tobaci,saucerottia tobaci
amazilia rutila,amazilia rutila
amazilia yucatanensis,amazilia yucatanensis
amazilia tzacatl,amazilia tzacatl
amazilia luciae,amazilia luciae
amazilia boucardi,amazilia boucardi
amazilis amazilia,amazilis amazilia
uranomitra franciae,uranomitra franciae
chrysuronia goudoti,chrysuronia goudoti
chrysuronia oenone,chrysuronia oenone
chrysuronia versicolor,chrysuronia versicolor
chrysuronia coeruleogularis,chrysuronia coeruleogularis
